Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa),ph,rainfall,N,P,K,Watering Required,Risk of Disease,Soil Acidity,Acidity status,Soil Fertility,Optimal Growth Conditions,Evapotranspiration Rate,Irrigation Scheduling
54,22,70,21,19.52,2.13,55.04,6.3,101.5,6.502985292,202.9355362,90,42,43,-0.09910724,103.749,0.944642625,neutral,161.8520897,95.606,-4.66,-13.38066086
12,20,40,104,19.49,2.01,55.17,10.46,101.5,7.038096361,226.6555374,85,58,41,36.11789252,64.563,0.440855859,neutral,169.9733325,72.734,-5.747,-19.99666122
34,26,35,62,19.47,1.9,55.3,14.63,101.51,7.840207144,263.9642476,60,55,44,9.61715048,89.37,-0.408458333,basic,144.111855,89.86,-2.83,-32.18927428
7,44,44,93,19.54,2.28,54.2,16.08,101.51,6.980400905,242.8640342,74,35,40,50.16719316,78.104,0.436652465,neutral,137.4862806,59.404,6.652,-14.35921026
50,38,23,92,19.61,2.66,53.09,17.52,101.51,7.628472891,262.7173405,78,42,42,0.5295319,110.628,-0.192802008,basic,148.960069,85.94,4.137,-62.81520215
4,26,52,6,19.67,2.51,51.91,14.69,101.51,7.073453503,251.0549998,69,37,42,43.21600004,58.553,0.337281977,neutral,135.8485825,72.026,-1.569,29.68350006
15,34,58,82,19.74,2.36,50.72,11.85,101.5,5.70080568,271.3248604,69,55,38,32.51902792,73.768,1.759579673,acidic,147.990564,70.604,2.728,-25.39745812
45,30,43,85,19.8,2.21,49.54,9.02,101.5,5.718627178,241.9741949,94,53,40,6.74316102,96.493,1.763843546,acidic,172.803039,88.69,1.022,-48.09225847
47,4,42,2,19.91,2.46,47.7,7.23,101.5,6.685346424,230.4462359,89,54,38,-5.39924718,101.078,0.798657002,neutral,167.7797425,68.168,-11.326,-5.13387077
19,41,22,0,20.02,2.71,45.86,5.44,101.5,6.336253525,221.2091958,68,58,38,43.50016084,77.863,1.127982931,acidic,150.1353775,61.646,7.826,26.63724126
63,44,65,75,20.1,2.8,44.76,6.29,101.5,5.386167788,264.6148697,91,53,40,-7.35097394,118.7,2.093059409,acidic,169.5703175,79.748,9.692,-67.88446091
88,34,41,71,20.19,2.89,43.67,7.14,101.49,7.50283396,250.0832336,90,46,42,-34.11764672,132.047,-0.043755815,basic,164.6480162,101.358,5.055,-86.52497008
39,20,70,82,20.3,3,42.56,11.96,101.49,5.108681786,284.4364567,78,58,44,1.34470866,75.56,2.354614434,acidic,164.0760773,75.948,-1.568,-53.33093701
65,43,44,93,20.41,3.11,41.44,16.78,101.49,6.98435366,185.2773389,93,56,36,7.01253222,116.163,0.513089565,neutral,172.1890476,79.03,10.312,-55.08320167
50,27,50,4,20.41,3.5,41.58,17.48,101.48,6.94801983,209.5869708,94,50,37,9.10860584,89.73,0.536420158,neutral,168.5636139,87.564,2.426,-2.87609124
39,22,48,80,20.41,3.9,41.71,18.18,101.48,7.042299069,231.0863347,60,48,39,13.26973306,75.68,0.387899324,neutral,134.3703907,77.088,0.047,-36.32590041
18,33,44,74,20.61,4.74,40.34,23.04,101.48,6.249050656,276.6552459,85,38,41,31.06695082,63.622,1.187615879,acidic,151.4743355,64.324,6.294,-25.99657377
66,43,35,64,20.81,5.58,38.96,27.91,101.48,6.970859754,206.2611855,91,35,39,2.5597629,112.854,0.469404838,neutral,153.6796018,77.052,12.044,-47.87835565
68,25,59,3,20.93,5.74,37.33,26.29,101.48,5.953933276,224.5550169,77,38,36,-11.61000338,98.512,1.485853988,acidic,139.2677533,90.716,3.597,-24.86650507
20,36,53,74,21.06,5.89,35.69,24.67,101.48,5.85393208,291.2986618,88,35,40,29.03326764,62.367,1.580448462,acidic,150.6977525,58.374,9.649,-32.38959854
40,17,35,70,21.18,6.04,34.06,23.05,101.47,6.442475375,185.4974732,89,45,36,21.18250536,68.232,1.028702617,acidic,157.9097328,66.04,0.698,-18.64924196
2,34,64,101,21.3,6.2,32.42,21.43,101.47,5.070175667,231.3843163,76,40,43,58.99713674,41.08,2.355665601,acidic,145.049123,48.696,9.754,-9.91529489
22,35,32,109,21.35,6.06,31.07,21.84,101.46,6.012632591,213.3560921,67,59,41,43.50778158,58.628,1.444233209,acidic,152.2088428,56.644,10.603,-28.50682763
1,19,70,56,21.4,5.93,29.72,22.26,101.46,6.254028451,233.1075816,83,41,43,52.96248368,27.269,1.183092805,acidic,153.7778199,45.09,2.956,13.06772552
5,23,27,4,21.44,5.8,28.38,22.67,101.46,7.375482851,224.0581164,98,47,37,53.17437672,31.22,0.106936866,neutral,169.637162,50.044,5.306,37.78256508
10,28,30,75,21.49,5.66,27.03,23.08,101.45,7.778915154,257.0038865,66,53,41,44.4902227,38.468,-0.334277695,basic,145.9547594,54.492,8.155,-12.60116595
25,13,66,50,21.56,7.11,26.62,36.03,101.44,6.286500176,271.3586137,97,59,43,19.24227726,49.743,1.202604655,acidic,184.0005501,48.374,1.358,-19.40758411
20,45,61,83,21.62,8.56,26.22,48.98,101.43,7.070959995,260.2634026,97,50,41,42.58131948,58.228,0.406356197,neutral,174.750328,41.264,18.058,-27.57902078
40,29,39,98,21.66,8.89,25.72,48.02,101.42,6.244841491,240.0810647,60,49,44,18.76778706,62.697,1.175356032,acidic,138.771389,66.798,10.34,-49.02431941
26,13,70,71,21.69,9.21,25.21,47.06,101.41,6.043304899,197.9791215,84,51,35,33.3411757,47.763,1.437424538,acidic,157.2303134,47.326,2.621,-8.89373645
71,6,59,88,21.48,8.76,25.8,46.17,101.4,5.824709117,272.2017204,73,57,41,-30.18034408,94.768,1.637284747,acidic,156.2772964,63.388,-1.236,-84.66051612
37,21,24,22,21.28,8.32,26.39,45.28,101.4,6.357389366,200.0882787,92,35,40,25.56534426,54.666,1.081436352,acidic,155.0501726,61.948,5.911,3.97351639
76,12,47,51,21.3,8.61,25.53,46.64,101.39,6.364134968,224.6757231,85,37,39,-22.59414462,94.303,1.074865784,acidic,149.0548945,71.702,1.785,-56.90271693
44,24,45,82,21.32,8.9,24.67,48,101.38,5.01450727,270.4417274,98,53,38,6.51065452,61.24,2.477260053,acidic,174.7101551,66.956,8.159,-54.13251822
24,8,47,38,21.28,8.22,24.32,45.43,101.38,6.149410611,233.1321372,88,54,44,26.07757256,49.766,1.318802512,acidic,171.2045874,40.812,-0.008,-0.93964116
70,6,63,90,21.24,7.53,23.96,42.86,101.37,5.950660556,193.3473987,95,55,42,-12.85747974,92.889,1.53169349,acidic,177.3654624,61.662,-1.176,-61.00421961
32,23,28,84,21.2,7.7,23.81,42.14,101.36,5.960370061,272.2999056,99,57,35,17.89701888,49.62,1.547912245,acidic,177.572259,59.508,7.437,-43.68997168
44,24,39,77,21.16,7.87,23.66,41.43,101.36,5.561398642,285.2493645,95,39,36,3.8521271,60.951,1.901993318,acidic,157.892979,66.354,8.05,-56.07480935
4,45,49,32,21.13,8.04,23.5,40.72,101.35,7.416245107,298.4018471,60,43,44,51.76963058,41.472,-0.009109603,neutral,133.6086284,31.192,18.666,2.47944587
63,40,48,89,21.09,8.21,23.35,40,101.35,5.583370042,257.0343554,63,44,41,-1.41187108,90.303,1.838005187,acidic,134.408359,65.538,16.279,-72.61030662
49,29,55,4,21.1,8.33,23.09,41.54,101.35,6.430010215,248.7183228,62,42,36,8.82933544,68.559,0.998118291,acidic,128.2010072,69.306,10.905,-13.61549684
26,32,70,73,21.11,8.46,22.84,43.08,101.34,5.534878156,209.9001977,64,45,43,41.16796046,49.918,1.88555639,acidic,137.8744147,54.58,12.532,-13.47005931
58,32,38,91,21.12,8.58,22.58,44.61,101.34,6.903985986,200.834898,83,60,36,11.0590204,78.374,0.588980637,neutral,165.7327902,70.348,12.658,-51.7504694
45,0,69,87,21.13,8.7,22.32,46.15,101.34,6.271478838,298.5601175,82,40,40,-11.4080235,72.73,1.169193087,acidic,149.4900352,41.616,-3.216,-66.06803525
37,7,32,76,20.94,7.26,22.58,38.26,101.34,7.224285503,265.5355937,85,52,45,6.61888126,61.198,0.234437746,neutral,167.6430001,45.112,-0.37,-42.66067811
16,44,57,93,20.76,5.82,22.83,30.38,101.34,6.13428721,183.6793207,91,35,38,62.41513586,52.356,1.308574931,acidic,152.294001,38.1,17.479,-5.60379621
75,2,31,96,20.56,5.31,23.4,27.83,101.34,5.206373153,196.9560008,76,49,42,-20.41120016,101.583,2.242115249,acidic,152.4444612,60.158,-3.896,-70.08680024
82,16,62,33,20.36,4.8,23.97,25.28,101.34,7.782051313,233.0453455,74,39,38,-27.8000691,97.61,-0.349047255,basic,138.9525641,78.216,2.729,-56.41360365
72,28,21,92,20.15,4.28,24.54,22.72,101.33,7.062779015,210.8142087,79,43,39,-7.52484174,92.744,0.383929617,neutral,148.8560547,83.776,8.35,-69.24426261
53,1,51,32,19.95,3.77,25.11,20.17,101.33,7.730367824,253.7202781,88,55,45,-10.77705562,85.371,-0.262567073,basic,172.9887425,49.834,-5.525,-33.11608343
13,24,48,17,19.71,3.73,26.29,13.57,101.34,5.286203711,219.9048349,60,36,43,47.13203302,38.579,2.105462627,acidic,125.6003426,53.786,5.605,24.52854953
41,18,34,86,19.47,3.69,27.47,6.96,101.34,6.766240045,208.5810155,76,60,39,18.0427969,63.387,0.709911581,neutral,161.036368,62.738,2.235,-34.57430465
53,2,30,64,19.32,3.44,27.99,9.76,101.34,7.382762603,195.0948311,93,56,42,0.58403378,87.682,0.099265554,neutral,176.7320662,53.204,-6.021,-31.52844933
76,14,48,58,19.18,3.18,28.51,12.57,101.34,5.658169482,227.3637009,65,60,43,-23.02574018,99.484,1.79258369,acidic,152.4607186,77.172,-0.281,-61.20911027
9,36,37,96,19.21,3.87,28.64,12.88,101.34,5.543360238,286.5083725,95,52,36,43.1063255,46.831,1.948799929,acidic,169.5803522,47.638,10.956,-30.95251175
66,1,56,106,19.24,4.56,28.77,13.19,101.34,6.215109715,283.9338466,75,38,39,-30.91776932,100.178,1.214041548,acidic,139.8505768,59.104,-6.307,-92.18015398
12,16,25,94,19.17,4.86,29.56,15.48,101.34,7.120272972,217.3788583,74,54,38,43.65622834,40.158,0.345273326,neutral,152.9158089,47.676,1.076,-12.21365749
29,10,67,50,19.1,5.16,30.36,17.78,101.33,5.950647577,267.9761948,91,36,45,13.29676104,60.848,1.478124019,acidic,158.6654533,50.756,-2.044,-22.39285844
37,34,57,2,19.02,4.45,31.01,17.78,101.33,7.236705436,191.9535738,71,46,40,32.30628524,72.395,0.203538746,neutral,144.2343062,65.418,9.477,16.41392786
8,28,67,10,18.93,3.74,31.66,17.78,101.33,6.501697816,277.9626192,99,55,35,40.90947616,42.642,1.003012681,neutral,176.1511885,57.58,5.998,15.61121424
55,1,68,37,18.74,3.55,31.96,13.49,101.33,7.592490617,245.1511304,72,40,38,-13.11822608,94.175,-0.159694676,basic,137.9852566,56.358,-7.668,-35.04533912
9,1,32,101,18.55,3.35,32.25,9.2,101.33,5.875345751,245.6626799,83,58,45,32.69246402,53.205,1.591916362,acidic,170.412742,33.63,-7.835,-21.19880397
41,27,23,63,18.63,4.05,31.86,10.32,101.33,6.932400225,279.5451717,93,58,38,7.03296566,71.525,0.563145409,neutral,175.5526802,75.178,5.562,-44.36355151
31,8,33,43,18.71,4.75,31.47,11.43,101.33,6.946209881,202.3838319,70,36,42,23.08223362,65.645,0.463224575,neutral,135.9623469,50.726,-3.541,-1.21514957
80,38,52,12,18.87,4.7,30.63,14.41,101.34,5.739175027,263.6372176,76,47,42,-22.91644352,113.74,1.705146105,acidic,151.0174225,82.564,11.691,-53.09116528
7,27,59,107,19.03,4.64,29.79,17.39,101.34,6.738652179,182.5616319,99,41,36,61.05067362,38.442,0.733865119,neutral,164.5170565,56.404,6.419,-3.26848957
13,4,41,23,19.02,4.39,29.64,19.8,101.34,5.594819626,198.6730942,99,54,37,40.37338116,51.067,1.902498972,acidic,176.2163737,36.334,-5.136,27.89807174
42,18,36,39,19,4.14,29.5,22.22,101.35,6.946636369,243.5120414,86,59,35,9.44759172,66.002,0.551017299,neutral,167.0626455,64.772,1.806,-22.55361242
72,21,26,63,19.04,4.35,29.16,23.32,101.35,5.012139669,263.1103304,69,46,41,-22.87006608,91.715,2.422777914,acidic,141.8084978,82.458,3.492,-70.43309912
21,33,21,5,19.07,4.57,28.81,24.43,101.35,6.363472208,269.5039162,91,56,37,32.95621676,54.911,1.12905712,acidic,170.5544305,56.634,9.685,7.64882514
